# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter;4
# number_predictions;100
# horizon;1
# max_attributes;9
# predict;GDP251
# prediction_type;rolling
# method; GFSM_(n_components=5)
"GDP251";"LHEL";"GDP261";"CPILFESL";"FYBAAC";"FYGM3"
24.375;34;37.467;29.9333333333333;4.87;2.77333333333333
25.016;38.6666666666667;38.796;30.1;4.95333333333333;3
24.997;41;38.063;30.2333333333333;5.11666666666667;3.54
25.085;40;36.954;30.4333333333333;5.27333333333333;4.23
25.643;40.3333333333333;38.014;30.5666666666667;5.31;3.87333333333333
25.515;37.6666666666667;34.888;30.6333333333333;5.24666666666667;2.99333333333333
25.555;35;33.83;30.6;5.10333333333333;2.36
25.224;31.3333333333333;33.784;30.7666666666667;5.09666666666667;2.30666666666667
25.376;30;33.915;30.8333333333333;5.06333333333333;2.35
25.853;31.3333333333333;34.037;30.9333333333333;5.01666666666667;2.30333333333333
26.272;34;35.876;31.0666666666667;5.10666666666667;2.30333333333333
26.809;37.6666666666667;37.079;31.1666666666667;5.11333333333333;2.46
27.291;39.3333333333333;37.747;31.2333333333333;5.06333333333333;2.72333333333333
27.589;39.3333333333333;38.929;31.3666666666667;5.01333333333333;2.71666666666667
27.843;38.3333333333333;38.896;31.4666666666667;5.04666666666667;2.84
27.911;37;38.845;31.5333333333333;4.95666666666667;2.81333333333333
28.277;38;40.249;31.6;4.89333333333333;2.90666666666667
28.63;37.3333333333333;43.144;31.7333333333333;4.85333333333333;2.94
29.169;38;43.942;31.8666666666667;4.83666666666667;3.29333333333333
29.396;39;45.28;32.0333333333333;4.84;3.49666666666667
30.055;40;48.054;32.2;4.83;3.53
30.404;42.3333333333333;45.635;32.2333333333333;4.85;3.47666666666667
30.819;44.6666666666667;44.889;32.3;4.82333333333333;3.49666666666667
30.902;46.3333333333333;44.071;32.4666666666667;4.81;3.68333333333333
31.661;48.6666666666667;44.224;32.6;4.78666666666667;3.89
32.089;52.3333333333333;44.57;32.7;4.82;3.87333333333333
32.74;55;44.745;32.7333333333333;4.89;3.86666666666667
33.532;62;43.776;32.9;4.96666666666667;4.16666666666667
34.352;67;44.77;33.0666666666667;5.16666666666667;4.61
34.471;68;41.179;33.4;5.49;4.58666666666667
34.698;68;39.84;33.7;5.86666666666667;5.04333333333333
34.977;66.6666666666667;35.66;34.0333333333333;6.13666666666667;5.21
35.287;65.6666666666667;34.588;34.2333333333333;5.88;4.51333333333333
35.289;64.3333333333333;38.52;34.5;5.98;3.66
35.569;64;40.451;34.8666666666667;6.33;4.3
35.838;65.6666666666667;42.808;35.2333333333333;6.72333333333333;4.75333333333333
36.576;66.6666666666667;43.069;35.6666666666667;6.83;5.05
37.197;69;44.157;36.0333333333333;7.02333333333333;5.52
37.45;72;44.95;36.5333333333333;6.86333333333333;5.19666666666667
37.608;76.6666666666667;45.51;37.0666666666667;7.02666666666667;5.58666666666667
38.201;79.3333333333333;47.149;37.5666666666667;7.37666666666667;6.09333333333333
38.31;79.3333333333333;46.642;38.1666666666667;7.58666666666667;6.19666666666667
38.548;77.6666666666667;46.262;38.7;7.91666666666667;7.02333333333333
