# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter;4
# number_predictions;100
# horizon;1
# max_attributes;9
# predict;GDP251
# prediction_type;rolling
# method; GFSM_(n_components=2)
"GDP251";"LHEL";"FYGT1"
24.375;34;3.50333333333333
25.016;38.6666666666667;3.91666666666667
24.997;41;4.60333333333333
25.085;40;4.91666666666667
25.643;40.3333333333333;4.57
25.515;37.6666666666667;3.87
25.555;35;3.07333333333333
25.224;31.3333333333333;2.99333333333333
25.376;30;2.87333333333333
25.853;31.3333333333333;2.93666666666667
26.272;34;3.01333333333333
26.809;37.6666666666667;3.1
27.291;39.3333333333333;3.20666666666667
27.589;39.3333333333333;3.01666666666667
27.843;38.3333333333333;3.18333333333333
27.911;37;2.99666666666667
28.277;38;3.02666666666667
28.63;37.3333333333333;3.14333333333333
29.169;38;3.52666666666667
29.396;39;3.73
30.055;40;3.82666666666667
30.404;42.3333333333333;3.86
30.819;44.6666666666667;3.76666666666667
30.902;46.3333333333333;3.93
31.661;48.6666666666667;4.01
32.089;52.3333333333333;4.02
32.74;55;4.08333333333333
33.532;62;4.46333333333333
34.352;67;4.93
34.471;68;4.93333333333333
34.698;68;5.51
34.977;66.6666666666667;5.44
35.287;65.6666666666667;4.60333333333333
35.289;64.3333333333333;4.24666666666667
35.569;64;5.12666666666667
35.838;65.6666666666667;5.56333333333333
36.576;66.6666666666667;5.47333333333333
37.197;69;5.94333333333333
37.45;72;5.51
37.608;76.6666666666667;5.83666666666667
38.201;79.3333333333333;6.36333333333333
38.31;79.3333333333333;6.57333333333333
38.548;77.6666666666667;7.65333333333333
38.365;77;7.9
38.301;69.6666666666667;7.55333333333333
38.373;62;7.45333333333333
38.714;57;6.93666666666667
38.299;53;5.64666666666667
39.361;51.6666666666667;4.05
39.583;53.3333333333333;4.99333333333333
39.897;54.3333333333333;5.75
40.011;55.6666666666667;4.72666666666667
40.722;60.3333333333333;4.40666666666667
41.684;63.3333333333333;4.84333333333333
42.081;67.6666666666667;5.15333333333333
42.77;75;5.43666666666667
43.856;82;6.31
44.363;81.6666666666667;7.01666666666667
44.127;82.3333333333333;8.50666666666667
44.548;81;7.41333333333333
44.162;77.3333333333333;7.35333333333333
44.29;77.6666666666667;8.69
43.861;71.6666666666667;9.01
43.689;59;7.67333333333333
43.166;50;6.30666666666667
43.482;50;6.52666666666667
44.218;53;7.52
44.798;55.3333333333333;6.68
45.806;59.3333333333333;5.97666666666667
46.148;61.3333333333333;6.28
46.369;61.6666666666667;6.01333333333333
46.701;64;5.22666666666667
47.265;68.6666666666667;5.42
48.193;73.6666666666667;5.69333333333333
49.056;78;6.28
49.051;85;6.96
49.209;89.3333333333333;7.31
51.148;96.6666666666667;7.78666666666667
51.652;97.6666666666667;8.44666666666667
52.332;102.666666666667;9.81666666666667
52.434;100.666666666667;10.3
52.484;102.666666666667;9.93666666666667
52.862;102.666666666667;10.1533333333333
53.017;101.666666666667;12.27
53.186;94.6666666666667;13.9333333333333
52.113;78.3333333333333;10.2833333333333
52.026;78.6666666666667;10.1366666666667
52.991;82;13.84
54.065;80.6666666666667;14.12
53.643;80.3333333333333;15.1266666666667
54.292;78;16.32
53.615;69.3333333333333;13.5466666666667
52.736;64.3333333333333;14.3333333333333
53.019;58.3333333333333;13.7966666666667
52.819;51.3333333333333;11.84
52.866;50;9.13
53.518;52.6666666666667;8.86
54.725;58.3333333333333;9.18
55.805;65.3333333333333;10.2966666666667
56.947;73.6666666666667;9.95333333333333
58.061;80;10.1766666666667
59.06;86;11.5466666666667
59.634;87.6666666666667;11.81
60.124;89.3333333333333;10.0166666666667
60.68;90.3333333333333;9.39
61.198;91.6666666666667;8.46666666666667
62.155;92;7.99333333333333
62.632;91.6666666666667;7.85333333333333
63.231;91;7.45666666666667
63.482;91;6.60666666666667
64.09;92;5.99
64.413;94;5.79666666666667
64.837;95;5.92333333333333
65.55;98.6666666666667;6.76666666666667
66.145;102.333333333333;7.12666666666667
67.3;103.666666666667;7.24
67.629;102.666666666667;6.78
68.489;103;7.3
68.854;102.666666666667;8.00333333333333
69.763;103.333333333333;8.52666666666667
70.471;102;9.29
70.933;99;8.92666666666667
71.439;95.3333333333333;8.09666666666667
71.62;95.6666666666667;7.82666666666667
72.447;93;8.12666666666667
72.632;87.3333333333333;8.27333333333333
72.637;82.6666666666667;7.82666666666667
72.088;72.3333333333333;7.30333333333333
71.721;64.6666666666667;6.43666666666667
72.186;62.6666666666667;6.24333333333333
72.535;61;5.88666666666667
72.875;59.6666666666667;4.86666666666667
73.63;61.3333333333333;4.35666666666667
74.34;62.3333333333333;4.22
75.069;62;3.41666666666667
75.896;64.3333333333333;3.56333333333333
75.988;66.3333333333333;3.40666666666667
76.373;67;3.38
76.765;70;3.42333333333333
77.798;74.3333333333333;3.52666666666667
78.589;81.6666666666667;3.91
79.614;81.3333333333333;5.13333333333333
80.06;83.3333333333333;5.6
80.999;88.3333333333333;6.59666666666667
81.224;86.6666666666667;6.72666666666667
81.369;82.6666666666667;5.97
82.032;84;5.65333333333333
82.632;85;5.44333333333333
83.215;83.6666666666667;5.12333333333333
84.579;82;5.66333333333333
