# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter;4
# number_predictions;100
# horizon;1
# max_attributes;9
# predict;GDP253
# prediction_type;rolling
# method; GFSM_(n_components=2)
"GDP253";"GDP255";"LHEL"
10.544;20.276;34
10.954;20.671;38.6666666666667
11.178;20.978;41
10.61;21.252;40
10.971;21.505;40.3333333333333
11.224;21.711;37.6666666666667
11.135;21.72;35
10.836;21.944;31.3333333333333
10.198;22.177;30
10.414;22.581;31.3333333333333
10.67;22.669;34
11.204;23.077;37.6666666666667
11.455;23.285;39.3333333333333
11.751;23.656;39.3333333333333
11.853;23.866;38.3333333333333
12.402;24.18;37
12.674;24.293;38
12.958;24.564;37.3333333333333
13.106;25.058;38
13.33;25.405;39
13.833;25.792;40
14.195;26.16;42.3333333333333
14.674;26.527;44.6666666666667
14.186;26.9;46.3333333333333
15.553;27.158;48.6666666666667
15.584;27.538;52.3333333333333
16.137;27.919;55
16.825;28.382;62
17.64;28.644;67
16.901;28.99;68
17.483;29.242;68
17.484;29.641;66.6666666666667
17.152;30.003;65.6666666666667
17.915;30.367;64.3333333333333
17.748;30.799;64
17.779;31.039;65.6666666666667
18.92;31.438;66.6666666666667
19.28;31.966;69
20.155;32.387;72
20.021;32.8;76.6666666666667
20.392;33.14;79.3333333333333
20.326;33.5;79.3333333333333
20.27;33.831;77.6666666666667
20.169;34.292;77
19.814;34.611;69.6666666666667
20.016;34.8;62
20.071;35.234;57
18.624;35.508;53
20.72;35.808;51.6666666666667
21.189;36.175;53.3333333333333
21.748;36.52;54.3333333333333
22.716;37.098;55.6666666666667
23.268;37.685;60.3333333333333
23.835;38.15;63.3333333333333
24.456;38.651;67.6666666666667
25.783;39.389;75
27.426;39.779;82
27.07;40.212;81.6666666666667
26.794;40.454;82.3333333333333
26.106;40.652;81
25.442;40.671;77.3333333333333
25.593;41.088;77.6666666666667
25.758;41.337;71.6666666666667
23.209;41.769;59
23.698;42.146;50
24.136;42.612;50
25.699;42.86;53
26.45;43.355;55.3333333333333
27.823;43.823;59.3333333333333
27.937;44.108;61.3333333333333
28.258;44.628;61.6666666666667
28.73;45.341;64
29.943;45.702;68.6666666666667
30.623;45.992;73.6666666666667
31.031;46.68;78
31.641;47.193;85
30.808;47.895;89.3333333333333
33.214;48.538;96.6666666666667
32.737;48.775;97.6666666666667
32.982;49.023;102.666666666667
32.642;49.519;100.666666666667
31.888;49.979;102.666666666667
32.813;50.169;102.666666666667
31.956;50.509;101.666666666667
31.528;50.637;94.6666666666667
28.003;50.338;78.3333333333333
29.339;50.969;78.6666666666667
30.282;51.738;82
31.185;51.422;80.6666666666667
29.919;51.852;80.3333333333333
30.889;51.863;78
28.602;51.954;69.3333333333333
29.588;52.186;64.3333333333333
29.674;52.455;58.3333333333333
29.912;52.94;51.3333333333333
31.339;53.879;50
31.63;54.599;52.6666666666667
34.013;55.388;58.3333333333333
35.351;56.204;65.3333333333333
37.144;56.849;73.6666666666667
38.596;57.042;80
39.477;57.601;86
39.472;58.338;87.6666666666667
40.764;59.124;89.3333333333333
42.236;60.272;90.3333333333333
42.719;60.828;91.6666666666667
45.526;61.779;92
43.828;62.333;91.6666666666667
44.746;62.477;91
46.312;62.744;91
50.432;63.281;92
49.65;63.941;94
46.485;64.93;95
48.465;65.544;98.6666666666667
50.486;66.153;102.333333333333
49.029;66.743;103.666666666667
51.511;67.599;102.666666666667
51.532;68.069;103
50.865;68.901;102.666666666667
52.289;69.453;103.333333333333
51.966;69.909;102
52.71;70.236;99
53.901;70.662;95.3333333333333
52.168;71.414;95.6666666666667
54.545;71.612;93
52.737;72.528;87.3333333333333
52.178;73.11;82.6666666666667
50.666;73.082;72.3333333333333
49.187;73.007;64.6666666666667
49.444;73.732;62.6666666666667
50.226;74.038;61
49.398;74.47;59.6666666666667
51.33;75.355;61.3333333333333
51.735;76.05;62.3333333333333
52.861;76.768;62
53.953;77.343;64.3333333333333
54.483;77.73;66.3333333333333
56.316;78.024;67
56.998;78.902;70
58.509;79.501;74.3333333333333
59.917;80.226;81.6666666666667
60.617;80.631;81.3333333333333
61.281;81.088;83.3333333333333
63.469;81.472;88.3333333333333
62.233;81.992;86.6666666666667
62.956;82.752;82.6666666666667
64.83;83.323;84
66.026;83.827;85
66.736;84.662;83.6666666666667
68.938;85.149;82
69.508;85.688;82.3333333333333
70.919;86.18;84.6666666666667
72.965;86.992;87
72.731;87.733;85.3333333333333
76.065;88.717;87
77.98;89.635;89.3333333333333
78.327;90.663;91.3333333333333
81.947;91.68;90.3333333333333
84.228;92.701;89
89.226;92.998;87
88.891;94.083;91.3333333333333
93.085;95.155;87.3333333333333
95.066;96.269;85
95.725;97.103;86
101.097;98.53;89
98.609;99.474;84.6666666666667
100.056;100.521;79.3333333333333
100.238;101.475;77
101.877;101.758;72
101.802;102.218;61
102.576;102.519;54.3333333333333
111.051;103.114;46
109.858;103.579;46
110.84;104.247;46
113.908;104.585;42.6666666666667
112.404;105.055;39.6666666666667
112.521;105.458;40.3333333333333
116.971;105.917;37
121.579;106.664;37.3333333333333
121.783;107.415;37.3333333333333
123.502;108.502;39
124.094;109.309;38.3333333333333
126.432;110.088;37
128.58;111.003;37
128.761;111.465;40.6666666666667
132.478;111.946;38.6666666666667
134.236;112.995;37.6666666666667
130.112;113.696;37.6666666666667
135.877;114.149;38
136.485;114.938;33
137.652;115.495;29.6666666666667
139.081;116.612;30.3333333333333
142.162;117.494;30
143.894;117.916;27.3333333333333
144.72;118.605;24
144.856;119.02;21.6666666666667
143.284;119.739;20.6666666666667
142.273;119.937;17.6666666666667
136.695;119.916;15.3333333333333
128.413;120.376;13.3333333333333
