# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter;4
# number_predictions;100
# horizon;1
# max_attributes;9
# predict;GDP253
# prediction_type;rolling
# method; GFSM_(n_components=3)
"GDP253";"GDP255";"GDP274_2";"Sfygt10"
10.544;20.276;82.662;1.21666666666667
10.954;20.671;82.894;1.25666666666667
11.178;20.978;82.96;0.963333333333333
10.61;21.252;82.929;0.353333333333333
10.971;21.505;83.185;0.613333333333333
11.224;21.711;83.343;1.26666666666667
11.135;21.72;83.396;1.47333333333333
10.836;21.944;83.375;1.58
10.198;22.177;83.256;1.43666666666667
10.414;22.581;83.275;1.48666666666667
10.67;22.669;83.139;1.67666666666667
11.204;23.077;82.926;1.51333333333333
11.455;23.285;82.762;1.29333333333333
11.751;23.656;82.566;1.15666666666667
11.853;23.866;82.362;1.15
12.402;24.18;82.281;1.09
12.674;24.293;82.216;0.986666666666667
12.958;24.564;82.134;1.02333333333333
13.106;25.058;82.18;0.74
13.33;25.405;82.4;0.623333333333333
13.833;25.792;82.357;0.65
14.195;26.16;82.226;0.723333333333333
14.674;26.527;81.948;0.696666666666667
14.186;26.9;81.723;0.49
15.553;27.158;81.554;0.313333333333333
15.584;27.538;81.363;0.333333333333333
16.137;27.919;80.985;0.38
16.825;28.382;80.481;0.306666666666667
17.64;28.644;80.382;0.16
16.901;28.99;80.605;0.193333333333333
17.483;29.242;80.978;0.0966666666666667
17.484;29.641;81.421;-0.206666666666667
17.152;30.003;81.685;0.07
17.915;30.367;81.741;1.16
17.748;30.799;82.147;0.946666666666667
17.779;31.039;82.603;0.89
18.92;31.438;83.561;0.56
19.28;31.966;84.269;0.223333333333333
20.155;32.387;84.824;0.263333333333333
20.021;32.8;85.459;0.183333333333333
20.392;33.14;86.003;0.0833333333333333
20.326;33.5;86.696;0.156666666666667
20.27;33.831;87.23;-0.166666666666667
20.169;34.292;87.71;-0.0566666666666667
19.814;34.611;88.018;0.156666666666667
20.016;34.8;88.407;1.03666666666667
20.071;35.234;88.556;1.13333333333333
18.624;35.508;89.054;1.5
20.72;35.808;89.455;2.17666666666667
21.189;36.175;89.928;1.99666666666667
21.748;36.52;90.343;1.47333333333333
22.716;37.098;90.44;1.66
23.268;37.685;90.736;2.59666666666667
23.835;38.15;90.975;2.37333333333333
24.456;38.651;91.334;2.07
25.783;39.389;91.746;1.51
27.426;39.779;92.104;0.903333333333333
27.07;40.212;92.579;0.203333333333333
26.794;40.454;93.108;-1.11666666666667
26.106;40.652;93.597;-0.746666666666667
25.442;40.671;94.904;-0.563333333333333
25.593;41.088;97.067;-0.61
25.758;41.337;100.153;-0.226666666666667
23.209;41.769;103.103;0.31
23.698;42.146;105.069;1.79
24.136;42.612;106.598;2.65666666666667
25.699;42.86;107.531;1.96666666666667
26.45;43.355;108.881;2.43666666666667
27.823;43.823;109.969;2.83666666666667
27.937;44.108;110.644;2.61666666666667
28.258;44.628;111.176;2.58
28.73;45.341;111.756;2.51666666666667
29.943;45.702;112.834;2.72333333333333
30.623;45.992;113.422;2.53
31.031;46.68;114.411;1.86
31.641;47.193;115.133;1.48666666666667
30.808;47.895;116.174;1.61666666666667
33.214;48.538;118.175;1.84333333333333
32.737;48.775;119.725;1.17666666666667
32.982;49.023;121.734;0.25
32.642;49.519;123.4;-0.276666666666667
31.888;49.979;124.69;-0.263333333333333
32.813;50.169;125.808;-0.57
31.956;50.509;127.697;-1.39666666666667
31.528;50.637;130.431;-1.36666666666667
28.003;50.338;132.814;0.86
29.339;50.969;134.976;1.8
30.282;51.738;136.794;-1.19
31.185;51.422;139.064;-1.43
29.919;51.852;141.131;-1.15666666666667
30.889;51.863;143.024;-0.206666666666667
28.602;51.954;144.529;2.33666666666667
29.588;52.186;146.013;1.48
29.674;52.455;147.356;1.51
29.912;52.94;147.283;3.8
31.339;53.879;147.734;2.76
31.63;54.599;147.69;2.45666666666667
34.013;55.388;147.811;2.14666666666667
35.351;56.204;147.666;2.48666666666667
37.144;56.849;147.803;2.88666666666667
38.596;57.042;147.468;2.77333333333333
39.477;57.601;147.62;3.40333333333333
39.472;58.338;146.932;2.54666666666667
40.764;59.124;147.045;2.94
42.236;60.272;147.061;3.4
42.719;60.828;147.086;3.35333333333333
45.526;61.779;145.401;3.23
43.828;62.333;145.481;2.59333333333333
44.746;62.477;144.512;1.66
